TMW Order #,TMW Leg #,Doc Type,Carrier Invoice #,Carrier Amount,Carrier Invoice Date,Approved Date,Transflo
115806,116439,CI,115806,1375,1/24/2024,1/24/2024,APPROVED
116088,116723,CI,39537,550,1/24/2024,1/24/2024,APPROVED
115410,116044,CI,42479,400,1/24/2024,1/24/2024,APPROVED
114968,115602,BL,,,,1/24/2024,COMPLETED
116173,116808,CI,116173,2945,1/24/2024,1/24/2024,APPROVED
115828,116461,BL,,,,1/24/2024,COMPLETED
115797,116430,BL,,,,1/24/2024,COMPLETED
114110,114739,BL,,,,1/24/2024,COMPLETED
111189,111813,CI,OTR-13727616,1150,1/24/2024,1/24/2024,APPROVED
115672,116306,CI,,1850,1/24/2024,1/24/2024,APPROVED
116641,117278,CI,335,650,1/24/2024,1/24/2024,APPROVED
115151,115785,CI,20846,4150,1/24/2024,1/24/2024,APPROVED
116471,117107,CI,43692,1350,1/24/2024,1/24/2024,APPROVED
116909,117546,CI,43718,1200,1/24/2024,1/24/2024,APPROVED
116088,116723,CI,39537,550,1/24/2024,1/24/2024,APPROVED
112926,113557,CI,14405,2200,1/24/2024,1/24/2024,APPROVED
115806,116439,CI,115806,1375,1/24/2024,1/24/2024,APPROVED
114844,115477,CI,8378,1700,1/24/2024,1/24/2024,APPROVED
116704,117341,CI,116704,1375,1/24/2024,1/24/2024,APPROVED
116596,117233,CI,116596,1375,1/24/2024,1/24/2024,APPROVED
116695,117332,CI,116695,1375,1/24/2024,1/24/2024,APPROVED
115418,116052,CI,115418,1375,1/24/2024,1/24/2024,APPROVED
111189,111813,POD,,,,1/24/2024,COMPLETED
112820,113450,POD,,,,1/24/2024,COMPLETED
116381,117017,BL,,,,1/24/2024,COMPLETED
113338,113969,POD,,,,1/24/2024,COMPLETED
115529,116163,POD,,,,1/24/2024,COMPLETED
115529,116163,POD,,,,1/24/2024,COMPLETED
114960,115594,POD,,,,1/24/2024,COMPLETED
114182,114812,BL,,,,1/24/2024,COMPLETED
114702,115335,POD,,,,1/24/2024,COMPLETED
116312,116948,WGT,,,,1/24/2024,COMPLETED
114962,115596,BL,,,,1/24/2024,COMPLETED
115819,116452,POD,,,,1/24/2024,COMPLETED
115819,116452,WGT,,,,1/24/2024,COMPLETED
113526,114157,POD,,,,1/24/2024,COMPLETED
116127,116762,POD,,,,1/24/2024,COMPLETED
116130,116765,POD,,,,1/24/2024,COMPLETED
116268,116904,BL,,,,1/24/2024,COMPLETED
113723,114354,POD,,,,1/24/2024,COMPLETED
115385,116019,POD,,,,1/24/2024,COMPLETED
115427,116061,POD,,,,1/24/2024,COMPLETED
115410,116044,POD,,,,1/24/2024,COMPLETED
116298,116934,POD,,,,1/24/2024,COMPLETED
115410,116044,WGT,,,,1/24/2024,COMPLETED
116926,117563,WGT,,,,1/24/2024,COMPLETED
116926,117563,POD,,,,1/24/2024,COMPLETED
116940,117577,POD,,,,1/24/2024,COMPLETED
116641,117278,POD,,,,1/24/2024,COMPLETED
115151,115785,POD,,,,1/24/2024,COMPLETED
115531,116165,POD,,0,1/24/2024,1/24/2024,COMPLETED
117098,117738,POD,,,,1/24/2024,COMPLETED
116785,117422,POD,,0,1/24/2024,1/24/2024,COMPLETED
117099,117739,POD,,,,1/24/2024,COMPLETED
117071,117710,POD,,,,1/24/2024,COMPLETED
114626,115259,POD,,,,1/24/2024,COMPLETED
116631,117268,POD,,,,1/24/2024,COMPLETED
115910,116545,BL,,,,1/24/2024,COMPLETED
115743,116376,POD,,,,1/24/2024,COMPLETED
114161,114790,POD,,,,1/24/2024,COMPLETED
116471,117107,BL,,,,1/24/2024,COMPLETED
114960,115594,POD,,,,1/24/2024,COMPLETED
116485,117121,WGT,,,,1/24/2024,COMPLETED
115385,116019,POD,,,,1/24/2024,COMPLETED
115554,116188,BL,,,,1/24/2024,COMPLETED
114795,115428,POD,,,,1/24/2024,COMPLETED
116151,116786,POD,,,,1/24/2024,COMPLETED
114795,115428,BL,,,,1/24/2024,COMPLETED
116420,117056,POD,,,,1/24/2024,COMPLETED
116105,116740,POD,,,,1/24/2024,COMPLETED
115738,116371,POD,,,,1/24/2024,COMPLETED
114386,115018,POD,,,,1/24/2024,COMPLETED
113041,113672,POD,,,,1/24/2024,COMPLETED
114851,115484,BL,,,,1/24/2024,COMPLETED
113041,113672,WGT,,,,1/24/2024,COMPLETED
113041,113672,POD,,,,1/24/2024,COMPLETED
116088,116723,POD,,,,1/24/2024,COMPLETED
116088,116723,POD,,,,1/24/2024,COMPLETED
116626,117263,WGT,,,,1/24/2024,COMPLETED
116088,116723,POD,,,,1/24/2024,COMPLETED
113041,113672,WGT,,,,1/24/2024,COMPLETED
113041,113672,POD,,,,1/24/2024,COMPLETED
115568,116202,POD,,,,1/24/2024,COMPLETED
116702,117339,WGT,,,,1/24/2024,COMPLETED
113041,113672,POD,,,,1/24/2024,COMPLETED
115809,116442,POD,,,,1/24/2024,COMPLETED
113041,113672,WGT,,,,1/24/2024,COMPLETED
113041,113672,POD,,,,1/24/2024,COMPLETED
113041,113672,POD,,,,1/24/2024,COMPLETED
113041,113672,WGT,,,,1/24/2024,COMPLETED
115797,116430,POD,,,,1/24/2024,COMPLETED
113020,113651,POD,,,,1/24/2024,COMPLETED
116488,117124,WGT,,,,1/24/2024,COMPLETED
116483,117119,WGT,,,,1/24/2024,COMPLETED
116484,117120,WGT,,,,1/24/2024,COMPLETED
